"","educ","income"
"1",10,36721.03
"2",11,50412.1
"3",17,19294.25
"4",12,21613.57
"5",12,80202.65
"6",17,41368.75
"7",13,67122.53
"8",7,75267.8
"9",6,132372.38
"10",16,36636.54
"11",13,53225.39
"12",13,215241.34
"13",12,63049.1
"14",10,112320.68
"15",18,84767.81
"16",13,33472.77
"17",5,65766.27
"18",9,23311.04
"19",8,118242.98
"20",10,56179.01
"21",8,36587.55
"22",9,39782.68
"23",11,127004.71
"24",7,58829.27
"25",8,145879.75
"26",10,33846.59
"27",7,83275.27
"28",15,29049.85
"29",15,43154.32
"30",14,98767.08
"31",14,70391.62
"32",13,61318.7
"33",11,101144.46
"34",10,115888.64
"35",10,58887.69
"36",9,52171.9
"37",14,44105.04
"38",11,52529.03
"39",16,41404.82
"40",8,24883.85
"41",10,42221.27
"42",10,35568.98
"43",14,48908.27
"44",11,35414.1
"45",12,29999.6
"46",11,40622.35
"47",11,60744.83
"48",16,40702.24
"49",11,24530.26
"50",17,72425.12
"51",6,30715.22
"52",8,16038.98
"53",12,46824.26
"54",13,44380.33
"55",10,49824.28
"56",10,10578.05
"57",8,33745.56
"58",13,12245.85
"59",16,31006.49
"60",14,63403.54
"61",13,89579.79
"62",14,56877.12
"63",11,33502.12
"64",11,59518.1
"65",8,55118.84
"66",9,57908.61
"67",14,25753.71
"68",11,33444.16
"69",9,44303.86
"70",12,61497.4
"71",11,77478.19
"72",12,15568.77
"73",13,60505.38
"74",10,40357.55
"75",14,37353.41
"76",11,38899.59
"77",13,48668.67
"78",15,46266.84
"79",13,50865.15
"80",10,104170.61
"81",15,46762.52
"82",15,54836.2
"83",13,35590.24
"84",12,84063.58
"85",9,34317.43
"86",16,49317.57
"87",10,35476.87
"88",13,77575.94
"89",11,56995.01
"90",13,152252.68
"91",12,36669.9
"92",18,88077.8
"93",12,36696.49
"94",16,32872.77
"95",10,35544.77
"96",8,32339.2
"97",9,37968.46
"98",13,61385.28
"99",11,30008.6
"100",16,65660.31
"101",18,33419.91
"102",13,88433.99
"103",11,42858.94
"104",12,44752.78
"105",16,116388.54
"106",11,87577.07
"107",6,75244.01
"108",9,26211.08
"109",14,97808.11
"110",13,73002.67
"111",13,26899.01
"112",14,26888.71
"113",18,105054.11
"114",14,99536.9
"115",9,60365.86
"116",12,59985.06
"117",8,111706.1
"118",15,23386.97
"119",16,50098.93
"120",17,46214.09
"121",12,62543.44
"122",10,39941.86
"123",12,65629.59
"124",20,49599.85
"125",18,40326.63
"126",6,120026.8
"127",8,22030.79
"128",13,49385.64
"129",7,31068.27
"130",14,38508.53
"131",19,88698.65
"132",7,108042.34
"133",3,27078.67
"134",13,66604.53
"135",8,16940.58
"136",11,12333.3
"137",11,30896.49
"138",6,54502.7
"139",15,28516.42
"140",10,45267.4
"141",15,20343.26
"142",8,104653.17
"143",20,19856.71
"144",13,35046.31
"145",14,40020.55
"146",10,30906.89
"147",13,39988.03
"148",13,36716.15
"149",11,43123.6
"150",12,21903.99
"151",11,65598.35
"152",19,24544.66
"153",9,37350.11
"154",18,83280.07
"155",8,41062.78
"156",13,48002.67
"157",10,45098.32
"158",8,45624.81
"159",10,102062.64
"160",14,131708.56
"161",13,29130.13
"162",15,59427.61
"163",12,37483.34
"164",14,39531.89
"165",10,40754.92
"166",12,26563.03
"167",10,49417.56
"168",12,63897.57
"169",8,64807.54
"170",9,31867.22
"171",14,72421.65
"172",7,22535.71
"173",7,23751.4
"174",19,81467.44
"175",16,70877.09
"176",11,34512.65
"177",13,39437.36
"178",10,46399.28
"179",10,27620.99
"180",9,37446.06
"181",8,39479.64
"182",11,31815.29
"183",12,37940.12
"184",12,31160.77
"185",16,40179.58
"186",10,34773.04
"187",8,80847.16
"188",12,117957.73
"189",20,35113.76
"190",12,111641.92
"191",11,45889.25
"192",8,22487.67
"193",14,36174.79
"194",15,67180.61
"195",14,41839.77
"196",10,77907.77
"197",12,46122.24
"198",9,18345.17
"199",16,21541.06
"200",14,127056.36
"201",8,83513.85
"202",11,57209.69
"203",12,32610.44
"204",9,67743.54
"205",15,22186.89
"206",15,83371
"207",14,60743.07
"208",11,37252.15
"209",20,40993.99
"210",17,31353.32
"211",8,62400.8
"212",15,31845.09
"213",6,25309.72
"214",7,68270.4
"215",6,48116.27
"216",10,59302.82
"217",10,24948.44
"218",10,62224.23
"219",12,71137.58
"220",17,55587.96
"221",11,27077.84
"222",15,88448.67
"223",14,41191.35
"224",11,86989.01
"225",6,110614.35
"226",10,55969.24
"227",5,52618.69
"228",16,108076.46
"229",19,33022.7
"230",17,74229.19
"231",11,60384.36
"232",20,43099.76
"233",9,22141.63
"234",15,83693.78
"235",14,72904.75
"236",7,45750.03
"237",10,61958.27
"238",9,30928.88
"239",12,57971.02
"240",13,41189.17
"241",12,50218.81
"242",6,48963.89
"243",9,32443.66
"244",11,59572.77
"245",12,39758.54
"246",12,76737.2
"247",12,134379.47
"248",17,45039.13
"249",11,42541.9
"250",12,42897.3
"251",16,71329.81
"252",15,43849.6
"253",15,57952.03
"254",9,30193.33
"255",12,64496.87
"256",18,47472.76
"257",16,30869.61
"258",9,35811.05
"259",10,65202.16
"260",14,28103.62
"261",15,29138.94
"262",10,65478.43
"263",7,40201.69
"264",12,19711.09
"265",16,78559.47
"266",19,40401.72
"267",16,30283.23
"268",14,108161.23
"269",6,18433
"270",15,30826.47
"271",10,68947.71
"272",15,16120.08
"273",14,82609.62
"274",9,46878.35
"275",15,42355.37
"276",12,48523.08
"277",16,25956.34
"278",7,35988.49
"279",7,27769.46
"280",14,47175.04
"281",11,38613.35
"282",14,46885.55
"283",16,47952.92
"284",12,32195.8
"285",15,12952.94
"286",7,73355.59
"287",7,166465.96
"288",13,62933.76
"289",15,50254.34
"290",12,109190.28
"291",9,61463.66
"292",14,27593.82
"293",15,71471.44
"294",17,66991.19
"295",12,26736.84
"296",11,19535.63
"297",5,50302.99
"298",8,35091.84
"299",8,60465.4
"300",10,51685.49
"301",9,119352.51
"302",10,112934.73
"303",12,65985.04
"304",8,35824.57
"305",12,24355.22
"306",14,38319.61
"307",10,27191.79
"308",20,76309.26
"309",14,35985.81
"310",12,57089.67
"311",15,67968.74
"312",14,85698.24
"313",11,82853.23
"314",13,46932.74
"315",8,53835.85
"316",19,39086.71
"317",20,52717.09
"318",14,22163.74
"319",13,24133.71
"320",9,64064.96
"321",6,51534.99
"322",11,55038.58
"323",5,28010.53
"324",9,57692.11
"325",12,164129.51
"326",8,96347.1
"327",13,38313.7
"328",15,31333.14
"329",15,105345.97
"330",9,56025.31
"331",13,38009.12
"332",9,21659.09
"333",13,39585.46
"334",11,29322.46
"335",4,22429.78
"336",17,69380.07
"337",9,72584.56
"338",11,64927.39
"339",9,56235.91
"340",11,32138.42
"341",7,61186.25
"342",18,73495.48
"343",11,55196.64
"344",13,144894.37
"345",13,35428.82
"346",16,69241.91
"347",8,20922.33
"348",12,192143.7
"349",13,33343.68
"350",12,26441.19
"351",14,31287.74
"352",11,56555.42
"353",10,29866.68
"354",19,38306.91
"355",12,56385.63
"356",13,44263.07
"357",7,51487.87
"358",12,31432.18
"359",12,38344.98
"360",16,39187.06
"361",9,113283.97
"362",14,42067.31
"363",13,36160.96
"364",11,70464.67
"365",7,76035.3
"366",11,50869.57
"367",13,80768.73
"368",13,34996.26
