"X","educ","income"
2463,10,95939.23
2511,14,41735.46
8718,9,34363.47
2986,15,43487.13
1842,12,59727.27
9334,8,111639.91
3371,17,32612.78
4761,13,28539.35
6746,15,35188.33
9819,15,35593.58
2757,10,67925.52
5107,16,113171.02
9145,17,42545.65
9209,11,27545.38
2888,7,70700.68
6170,8,16376.41
2567,15,75575.12
9642,13,65848.72
9982,11,38346.7
2980,11,61229.37
1614,7,60789.69
555,16,67361.33
4469,13,87768.93
9359,18,25346.48
7789,9,32913.23
9097,16,38377.26
1047,11,19717.86
7067,14,37455.67
3004,14,37782.84
3207,12,46409.26
7989,14,46451.27
3995,12,13405.64
8358,10,91767.58
217,10,24948.44
9506,11,69959.99
8157,14,36283.72
6216,6,12338.44
8780,16,42660.21
1599,13,35001.24
4237,11,65835.1
3937,9,28461.26
4089,7,48206.03
2907,7,33103.88
294,17,66991.19
8469,9,42705.02
41,10,42221.27
8508,13,25003.81
7391,12,57071.56
6672,12,109573
7284,6,87119.38
2504,11,28326.15
6742,14,63830.57
9375,17,80370.9
8944,10,84283.32
8566,11,15161.39
6129,14,58763.22
4612,6,69619.16
2117,11,110989.31
6134,16,41731.24
755,19,51392.24
6553,13,55966.31
5428,11,34163.21
9198,5,49838.05
7127,15,49242.25
9640,14,58237.99
3358,10,26839.96
3980,8,36263.92
9326,11,31069.14
3230,11,46874.73
5603,12,45482.76
9693,12,39747.56
4576,20,80589.95
3783,9,31126.45
7831,10,24595.08
5967,9,38708.19
9301,13,24474.1
7816,12,53575.31
9267,8,51236.22
1386,9,61313.5
4706,9,17710.96
2378,10,92614.17
4044,16,99688.23
686,19,55860.76
6078,12,63228.25
5027,14,52520.83
6387,9,61342.61
9039,10,22784.63
7281,13,35185.34
9175,7,17018.98
4715,11,58920.31
151,11,65598.35
6810,16,22833.16
9830,8,53649.19
8174,6,63843.18
6911,6,62774.05
2208,17,28855.65
1029,12,51988.68
8518,11,82043.68
7448,12,23474.81
7735,10,15934.6
8011,11,34301.21
1956,14,34808.15
8172,11,65364.36
5358,12,23993.4
5884,15,25880.86
4093,15,74479.59
985,14,62298.57
6183,7,77787.06
986,13,60780.37
4233,13,61467.38
1584,12,59868.7
4685,13,216058.26
7864,9,78598.81
4776,11,51136.62
6644,18,72152.59
9894,13,75147.25
8536,15,56909.31
7478,12,56971.54
2507,15,85319.59
195,14,41839.77
3124,12,84027.2
6678,14,42202.33
4650,20,42125.06
2132,16,157897.92
3464,10,65941.95
9518,8,32832.44
3949,11,50090.13
7757,11,42803.8
2758,13,19511.13
3833,15,34278.21
712,15,83052.55
9644,15,32814.36
5370,11,96306.97
3501,9,44960.99
3069,9,34552.92
8720,11,64591.62
4055,12,42983.36
9761,12,25960.98
473,9,38794.07
6098,12,44022.98
1149,12,40256.72
2037,12,36061.29
2313,10,20944.47
7741,8,47024.44
8650,9,29289.75
1078,9,28911.06
5015,10,45878.49
5658,8,38072.8
6379,9,51193.89
1313,12,63050.33
185,16,40179.58
7933,13,87319.24
413,17,14225.99
4723,15,38108.74
1333,12,26426.09
4875,13,28539.26
9753,14,25875.79
564,13,31042.49
8986,15,52568.49
9607,14,21675.61
3799,6,114007.39
9562,11,105669.69
4256,13,27133.72
3581,11,45902.9
3129,13,46733.34
6601,14,105795.57
4713,9,48524.02
8549,17,79142.4
279,7,27769.46
4366,15,45981.21
6790,14,23680.41
6491,11,11301.92
3201,9,32848.2
2266,11,31088.95
618,14,42905.65
1905,11,29569.82
8529,18,72117.17
539,9,61316.63
9148,16,31819.14
3625,12,24125.19
6868,7,75323.15
3462,14,32843.3
5618,17,41618.99
6815,12,34844.69
7005,11,57071.64
6801,15,21359.55
3008,11,27355.22
9637,4,94408.57
6804,18,63893.43
2211,9,60266.03
2286,15,73252.38
5793,10,33909.47
7684,20,48955.46
9920,15,22967.36
5509,6,68524.3
4213,14,52412.45
9271,12,65024.07
9433,17,53068.52
7826,11,46238.52
1706,8,57121.43
7879,18,49477.54
9065,12,34782.38
8081,14,40262.88
8949,16,55759.95
988,10,79877.39
9970,13,18628.57
4807,15,48634.74
5588,12,92344.51
9426,11,131083.38
9617,10,35318.76
3809,15,66616.05
7426,13,46112.54
2225,10,46097.68
1165,15,69016.14
6083,16,31293.31
7634,11,89263.82
2213,9,104387.87
1612,10,42405.49
3853,9,42057.44
5565,14,19194.52
710,12,53448.44
8042,9,96569.11
1258,14,82839.02
2470,11,79038.17
2112,16,32216.51
6224,10,98095.45
3035,11,78347.07
2339,15,106719.51
6909,18,43100.04
1347,7,113335.5
6623,13,16472.78
7728,15,95653.04
8983,8,102891.38
5001,9,44717.85
