"row_id","love","hapiness","cluster","hand_cluster","function_cluster","multiple_start_cluster","scaled_cluster"
1,0.456601376,0.432806409,"Head",2,2,2,2
2,0.611378467,0.528624599,"Head",2,2,2,2
3,0.450298974,0.711606121,"Head",1,1,3,1
4,0.63901505,0.460743982,"Head",2,2,2,2
5,0.628956784,0.323469515,"Head",2,2,2,2
6,0.566210439,0.289357728,"Head",2,2,2,2
7,0.567653036,0.295472658,"Head",2,2,2,2
8,0.436023991,0.415775727,"Head",2,2,2,2
9,0.545413794,0.367501782,"Head",2,2,2,2
10,0.439452808,0.547867429,"Head",2,2,2,2
11,0.512200437,0.500864647,"Head",2,2,2,2
12,0.391758778,0.610347304,"Head",1,1,3,1
13,0.521857028,0.576906081,"Head",2,2,2,2
14,0.719418958,0.436480939,"Head",2,2,2,2
15,0.299532932,0.623062727,"Head",1,1,3,1
16,0.498224148,0.428399838,"Head",2,2,2,2
17,0.274052292,0.48043206,"Head",2,2,2,2
18,0.382840217,0.544068886,"Head",2,2,2,2
19,0.424923199,0.284825728,"Head",2,2,2,2
20,0.520723821,0.325427336,"Head",2,2,2,2
21,0.443295577,0.32697892,"Head",2,2,2,2
22,0.398821217,0.449177578,"Head",2,2,2,2
23,0.50434998,0.31104973,"Head",2,2,2,2
24,0.641831638,0.446342302,"Head",2,2,2,2
25,0.387513905,0.583577668,"Head",2,2,2,1
26,0.393993612,0.435549232,"Head",2,2,2,2
27,0.531041009,0.629564964,"Head",2,2,2,3
28,0.688896809,0.524163138,"Head",3,3,1,2
29,0.649396231,0.374109163,"Head",2,2,2,2
30,0.465588046,0.380826035,"Head",2,2,2,2
31,0.625894616,0.297861528,"Head",2,2,2,2
32,0.33422594,0.471608482,"Head",2,2,2,2
33,0.366800674,0.709811248,"Head",1,1,3,1
34,0.741627778,0.588991019,"Head",3,3,1,3
35,0.382722631,0.452737368,"Head",2,2,2,2
36,0.565063292,0.436880702,"Head",2,2,2,2
37,0.350759666,0.473150343,"Head",2,2,2,2
38,0.568142992,0.422846001,"Head",2,2,2,2
39,0.498288785,0.389116563,"Head",2,2,2,2
40,0.436428372,0.692301106,"Head",1,1,3,1
41,0.603725413,0.46839656,"Head",2,2,2,2
42,0.588849877,0.475244028,"Head",2,2,2,2
43,0.698996224,0.391536094,"Head",2,2,2,2
44,0.675242181,0.566520058,"Head",3,3,1,3
45,0.645562395,0.457586972,"Head",2,2,2,2
46,0.415527426,0.526148836,"Head",2,2,2,2
47,0.29194679,0.42723348,"Head",2,2,2,2
48,0.437561332,0.644688135,"Head",1,1,3,1
49,0.333454401,0.46901269,"Head",2,2,2,2
